"","FYFF"
"1977:12",6.560000
"1978:01",6.700000
"1978:02",6.780000
"1978:03",6.790000
"1978:04",6.890000
"1978:05",7.360000
"1978:06",7.600000
"1978:07",7.810000
"1978:08",8.040000
"1978:09",8.450000
"1978:10",8.960000
"1978:11",9.760000
"1978:12",10.030000
"1979:01",10.070000
"1979:02",10.060000
"1979:03",10.090000
"1979:04",10.010000
"1979:05",10.240000
"1979:06",10.290000
"1979:07",10.470000
"1979:08",10.940000
"1979:09",11.430000
"1979:10",13.770000
"1979:11",13.180000
"1979:12",13.780000
"1980:01",13.820000
"1980:02",14.130000
"1980:03",17.190000
"1980:04",17.610000
"1980:05",10.980000
"1980:06",9.470000
"1980:07",9.030000
"1980:08",9.610000
"1980:09",10.870000
"1980:10",12.810000
"1980:11",15.850000
"1980:12",18.900000
"1981:01",19.080000
"1981:02",15.930000
"1981:03",14.700000
"1981:04",15.720000
"1981:05",18.520000
"1981:06",19.100000
"1981:07",19.040000
"1981:08",17.820000
"1981:09",15.870000
"1981:10",15.080000
"1981:11",13.310000
"1981:12",12.370000
"1982:01",13.220000
"1982:02",14.780000
"1982:03",14.680000
"1982:04",14.940000
"1982:05",14.450000
"1982:06",14.150000
"1982:07",12.590000
"1982:08",10.120000
"1982:09",10.310000
"1982:10",9.710000
"1982:11",9.200000
"1982:12",8.950000
"1983:01",8.680000
"1983:02",8.510000
"1983:03",8.770000
"1983:04",8.800000
"1983:05",8.630000
"1983:06",8.980000
"1983:07",9.370000
"1983:08",9.560000
"1983:09",9.450000
"1983:10",9.480000
"1983:11",9.340000
"1983:12",9.470000
"1984:01",9.560000
"1984:02",9.590000
"1984:03",9.910000
"1984:04",10.290000
"1984:05",10.320000
"1984:06",11.060000
"1984:07",11.230000
"1984:08",11.640000
"1984:09",11.300000
"1984:10",9.990000
"1984:11",9.430000
"1984:12",8.380000
"1985:01",8.350000
"1985:02",8.500000
"1985:03",8.580000
"1985:04",8.270000
"1985:05",7.970000
"1985:06",7.530000
"1985:07",7.880000
"1985:08",7.900000
"1985:09",7.920000
"1985:10",7.990000
"1985:11",8.050000
"1985:12",8.270000
"1986:01",8.140000
"1986:02",7.860000
"1986:03",7.480000
"1986:04",6.990000
"1986:05",6.850000
"1986:06",6.920000
"1986:07",6.560000
"1986:08",6.170000
"1986:09",5.890000
"1986:10",5.850000
"1986:11",6.040000
"1986:12",6.910000
"1987:01",6.430000
"1987:02",6.100000
"1987:03",6.130000
"1987:04",6.370000
"1987:05",6.850000
"1987:06",6.730000
"1987:07",6.580000
"1987:08",6.730000
"1987:09",7.220000
"1987:10",7.290000
"1987:11",6.690000
"1987:12",6.770000
"1988:01",6.830000
"1988:02",6.580000
"1988:03",6.580000
"1988:04",6.870000
"1988:05",7.090000
"1988:06",7.510000
"1988:07",7.750000
"1988:08",8.010000
"1988:09",8.190000
"1988:10",8.300000
"1988:11",8.350000
"1988:12",8.760000
"1989:01",9.120000
"1989:02",9.360000
"1989:03",9.850000
"1989:04",9.840000
"1989:05",9.810000
"1989:06",9.530000
"1989:07",9.240000
"1989:08",8.990000
"1989:09",9.020000
"1989:10",8.840000
"1989:11",8.550000
"1989:12",8.450000
"1990:01",8.230000
"1990:02",8.240000
"1990:03",8.280000
"1990:04",8.260000
"1990:05",8.180000
"1990:06",8.290000
"1990:07",8.150000
"1990:08",8.130000
"1990:09",8.200000
"1990:10",8.110000
"1990:11",7.810000
"1990:12",7.310000
"1991:01",6.910000
"1991:02",6.250000
"1991:03",6.120000
"1991:04",5.910000
"1991:05",5.780000
"1991:06",5.900000
"1991:07",5.820000
"1991:08",5.660000
"1991:09",5.450000
"1991:10",5.210000
"1991:11",4.810000
"1991:12",4.430000
"1992:01",4.030000
"1992:02",4.060000
"1992:03",3.980000
"1992:04",3.730000
"1992:05",3.820000
"1992:06",3.760000
"1992:07",3.250000
"1992:08",3.300000
"1992:09",3.220000
"1992:10",3.100000
"1992:11",3.090000
"1992:12",2.920000
"1993:01",3.020000
"1993:02",3.030000
"1993:03",3.070000
"1993:04",2.960000
"1993:05",3.000000
"1993:06",3.040000
"1993:07",3.060000
"1993:08",3.030000
"1993:09",3.090000
"1993:10",2.990000
"1993:11",3.020000
"1993:12",2.960000
"1994:01",3.050000
"1994:02",3.250000
"1994:03",3.340000
"1994:04",3.560000
"1994:05",4.010000
"1994:06",4.250000
"1994:07",4.260000
"1994:08",4.470000
"1994:09",4.730000
"1994:10",4.760000
"1994:11",5.290000
"1994:12",5.450000
"1995:01",5.530000
"1995:02",5.920000
"1995:03",5.980000
"1995:04",6.050000
"1995:05",6.010000
"1995:06",6.000000
"1995:07",5.850000
"1995:08",5.740000
"1995:09",5.800000
"1995:10",5.760000
"1995:11",5.800000
"1995:12",5.600000
"1996:01",5.560000
"1996:02",5.220000
"1996:03",5.310000
"1996:04",5.220000
"1996:05",5.240000
"1996:06",5.270000
"1996:07",5.400000
"1996:08",5.220000
"1996:09",5.300000
"1996:10",5.240000
"1996:11",5.310000
"1996:12",5.290000
